configuracion,cruce,mutacion,semilla,makespan,balance,energia,tamano_frente,score_agregado,tiempo
Uniforme + Insert,uniforme,insert,4,1563.2343535813955,282.7967128925976,624.7311230316261,100,2.616745919335013,34.29711365699768
Uniforme + Insert,uniforme,insert,6,1557.829147651617,279.7964254607575,624.5383109091374,100,2.60376691237472,34.28271532058716
Uniforme + Insert,uniforme,insert,3,1559.8636033551575,282.41504568134593,624.5327543449459,100,2.6135049363462737,34.463404178619385
Uniforme + Insert,uniforme,insert,5,1563.9833829237732,282.51862705946206,624.7910408825569,100,2.6162790781589846,34.47247934341431
Uniforme + Insert,uniforme,insert,12,1557.0830858218774,282.79876299959983,624.3178527386425,100,2.613086733012427,34.2524893283844
Uniforme + Insert,uniforme,insert,14,1555.7330390477891,281.74449179851024,624.3301531042198,100,2.6089150442392426,34.20285487174988
Uniforme + Insert,uniforme,insert,10,1565.7773145346537,284.93447151935266,624.8314396207546,100,2.625286571313866,34.67504525184631
Uniforme + Insert,uniforme,insert,9,1564.2325597801441,282.49577156001754,624.8043560408674,100,2.6163465032437507,34.691922187805176
Uniforme + Insert,uniforme,insert,7,1563.4296108805324,283.4640249980332,624.7166350902754,100,2.619047224610294,34.89715003967285
Uniforme + Insert,uniforme,insert,8,1575.1369792419073,278.72599847253053,625.7498248107662,100,2.6105834723542927,34.773704051971436
Uniforme + Insert,uniforme,insert,16,1564.696319378587,282.6389958197917,624.8003680606579,100,2.6170501001276345,34.54980969429016
Uniforme + Insert,uniforme,insert,15,1562.962831095404,280.62337520725146,624.8042984831509,100,2.609470235500184,34.64458870887756
Uniforme + Insert,uniforme,insert,11,1563.8768533400287,280.18872891920074,624.8968413200844,100,2.6086106297150895,34.82204985618591
Uniforme + Insert,uniforme,insert,13,1577.9203233140577,282.06996664532767,625.7511599823737,100,2.623123612354369,34.87248349189758
Uniforme + Insert,uniforme,insert,17,1565.0460483040576,283.7979705263006,624.8265437885763,100,2.621125607509092,34.84651207923889
Uniforme + Insert,uniforme,insert,27,1556.345191977542,280.9306243662056,624.3505419713312,100,2.60653735621612,21.097208499908447
Uniforme + Insert,uniforme,insert,26,1580.63571710408,284.98588644254215,625.802074785678,100,2.634273777340054,21.41028356552124
