Configuracion,Metodo_Seleccion,Metodo_Cruce,Metodo_Mutacion,Promedio_Mejor_Generacion,Desviacion_Generacion,Promedio_Mejor_Fitness,Desviacion_Fitness,Promedio_promedios,Desviacion_promedio_20p
1,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,255.1,40.583969996658226,0.00064007410306201,1.914710544309188e-06,0.0006398428878953367,1.897456921251085e-06
2,seleccion_por_ranking,cruce_1_punto,mutacion_aleatoria,199.86666666666667,76.95978947088082,0.0006373134941876333,2.589511133019191e-06,0.0006371134466985399,2.615391286647531e-06
2,seleccion_por_ranking,cruce_1_punto,mutacion_intercambio_por_etapa,226.76666666666668,68.39120902034388,0.0006430177130982667,2.0972288667554538e-06,0.0006428333394185933,2.108202207333473e-06
2,seleccion_por_ranking,cruce_2_puntos,mutacion_aleatoria,236.23333333333332,58.83740502337827,0.0006375592503775799,2.8679955708004433e-06,0.0006371424936021267,2.9118885260835506e-06
2,seleccion_por_ranking,cruce_2_puntos,mutacion_intercambio_por_etapa,218.23333333333332,66.49017730583155,0.0006435396346577,2.2741444567158897e-06,0.00064339560562625,2.1974914969601222e-06
2,seleccion_por_ruleta,cruce_1_punto,mutacion_aleatoria,217.3,80.86052274089647,0.0006358758682262566,1.8808079767619874e-06,0.0006356367150473267,1.97263621294649e-06
2,seleccion_por_ruleta,cruce_1_punto,mutacion_intercambio_por_etapa,248.96666666666667,56.1976090627334,0.0006426093907146167,2.230686410292419e-06,0.0006423513433611133,2.197810194905784e-06
2,seleccion_por_ruleta,cruce_2_puntos,mutacion_aleatoria,200.4,73.99328953730685,0.0006371193999098666,1.9312855230042412e-06,0.0006369167454801834,1.7638681145347297e-06
2,seleccion_por_ruleta,cruce_2_puntos,mutacion_intercambio_por_etapa,203.1,76.58907367827705,0.0006420897897976533,2.0489955730758418e-06,0.000641941160647,1.9620274164939095e-06
2,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,221.76666666666668,72.46910558553773,0.00063566063233258,2.170994839291435e-06,0.0006352140252058567,1.9416355991479883e-06
2,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,230.26666666666668,66.38806152196099,0.0006425907995904966,2.277284508040424e-06,0.0006422631377310033,2.0493735130581537e-06
2,seleccion_por_torneo,cruce_2_puntos,mutacion_aleatoria,221.83333333333334,66.35125097349052,0.0006369204837010833,1.5096859173287127e-06,0.0006366061073453966,1.547671609357953e-06
2,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,231.7,65.11059556763718,0.00064237166968231,1.929176387697427e-06,0.0006421681643775534,1.8827019373327123e-06
3,seleccion_por_ranking,cruce_1_punto,mutacion_aleatoria,174.7,74.99891953244716,0.0006355109727229233,2.1722203520380515e-06,0.0006353592003261967,2.1276828379351416e-06
3,seleccion_por_ranking,cruce_1_punto,mutacion_intercambio_por_etapa,230.5,64.25367291259404,0.0006420275849389533,1.4107973152936956e-06,0.0006418027444390733,1.393197994612514e-06
3,seleccion_por_ranking,cruce_2_puntos,mutacion_aleatoria,198.0,71.93196018844283,0.0006350681560602233,2.47634407710574e-06,0.00063478584919955,2.5686042032645127e-06
3,seleccion_por_ranking,cruce_2_puntos,mutacion_intercambio_por_etapa,236.43333333333334,63.61830322907965,0.0006423434566878901,2.020520781316049e-06,0.0006421979031396967,1.974663825396607e-06
3,seleccion_por_ruleta,cruce_1_punto,mutacion_aleatoria,182.9,74.29964960236678,0.0006353841337223901,2.3189900547883457e-06,0.0006352158938765566,2.447906913010581e-06
3,seleccion_por_ruleta,cruce_1_punto,mutacion_intercambio_por_etapa,236.4,56.16269469908001,0.0006421516346444766,1.8640280724520757e-06,0.0006419801608191133,1.7661491498700987e-06
3,seleccion_por_ruleta,cruce_2_puntos,mutacion_aleatoria,211.76666666666668,64.15911434880464,0.0006350854659339333,2.1564705649000936e-06,0.0006348057590978667,2.1664818341051213e-06
3,seleccion_por_ruleta,cruce_2_puntos,mutacion_intercambio_por_etapa,241.23333333333332,67.1835793429714,0.00064169003816089,1.7490833770961097e-06,0.00064147398524519,1.7656295119964935e-06
3,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,148.2,77.75177124049641,0.00063323921044131,2.2036273763790567e-06,0.0006331349423443067,2.1201819759392896e-06
3,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,240.83333333333334,48.16214233215741,0.0006417126569060466,1.61808075817378e-06,0.0006415888273829833,1.5992655462099206e-06
3,seleccion_por_torneo,cruce_2_puntos,mutacion_aleatoria,153.16666666666666,92.07496321245377,0.0006335474698247034,2.050747323485975e-06,0.0006334999318184366,2.0461338557482366e-06
3,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,250.1,51.20166349668326,0.0006422754227204066,1.827320289219546e-06,0.00064211741364422,1.8357760486683062e-06
4,seleccion_por_ranking,cruce_1_punto,mutacion_aleatoria,194.93333333333334,75.82053826628051,0.0006348815739338733,2.815388775432895e-06,0.0006345949949018134,2.7938330698637087e-06
4,seleccion_por_ranking,cruce_1_punto,mutacion_intercambio_por_etapa,220.63333333333333,63.61711076125035,0.0006415260275760101,2.0858569540737674e-06,0.0006413788334743567,2.0347579719498637e-06
4,seleccion_por_ranking,cruce_2_puntos,mutacion_aleatoria,204.56666666666666,71.15969574731592,0.0006356734542723633,2.398268022364699e-06,0.0006353203224123134,2.1931883299519565e-06
4,seleccion_por_ranking,cruce_2_puntos,mutacion_intercambio_por_etapa,223.2,71.43137531442571,0.00064255527159405,1.9789315240595094e-06,0.0006422888621941034,1.9414443874054056e-06
4,seleccion_por_ruleta,cruce_1_punto,mutacion_aleatoria,209.23333333333332,81.60742162553485,0.0006350323564353967,2.80924456023033e-06,0.0006348506633715033,2.7733730271081264e-06
