Iteracion,Configuracion,Metodo_Seleccion,Metodo_Cruce,Metodo_Mutacion,Mejor_Fitness,Mejor_generacion
10,6,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006420326600749364,251
10,7,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006446570442437058,73
10,8,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006452137164166202,290
10,9,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006438357151671915,261
10,10,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,0.0006405545723120761,278
1,1,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006313676036169473,188
1,2,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006399646480936637,207
1,3,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006334602056278719,3
1,4,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006327947532663097,290
1,5,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006357870862048533,283
1,6,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006378585716384813,252
1,7,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006306342497826985,133
1,8,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.000634701564069469,284
1,9,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006370952131122549,111
1,10,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006362952188926313,260
2,1,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006385638669959029,155
2,2,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006379555479031972,234
2,3,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006323092028274285,37
2,4,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006355481827062932,203
2,5,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006370730663805341,196
2,6,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006354490985804145,220
2,7,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.000633799086101731,31
2,8,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006333975896624013,216
2,9,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.000632331709472281,193
2,10,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006382612237535078,87
3,1,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006296383158147481,7
3,2,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006355617117136474,234
3,3,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006355748998851255,206
3,4,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006365719523209236,162
3,5,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006335631071951677,245
3,6,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006339638412845886,200
3,7,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006374777655031444,57
3,8,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006367204069991406,157
3,9,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006358850544291544,61
3,10,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006319519998957197,268
4,1,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006297705776675031,280
4,2,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006361578588615659,30
4,3,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006331373081438446,86
4,4,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006324376491557201,182
4,5,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006403383953388598,227
4,6,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006307225657756285,275
4,7,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006343906947014039,158
4,8,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006330038743925312,238
