Configuracion,Metodo_Seleccion,Metodo_Cruce,Metodo_Mutacion,Promedio_Mejor_Generacion,Desviacion_Generacion,Promedio_Mejor_Fitness,Desviacion_Fitness
5,seleccion_por_ranking,cruce_2_puntos,mutacion_intercambio_por_etapa,221.22727272727272,67.57706839720242,0.0006432121017750955,2.6716255376874263e-06
5,seleccion_por_ruleta,cruce_1_punto,mutacion_aleatoria,172.72727272727272,83.52369599226193,0.0006366470162866774,2.348354061752388e-06
5,seleccion_por_ruleta,cruce_1_punto,mutacion_intercambio_por_etapa,257.59090909090907,36.813117603724194,0.0006432654844864909,2.2305991160889114e-06
5,seleccion_por_ruleta,cruce_2_puntos,mutacion_aleatoria,245.63636363636363,48.805293872250274,0.0006365493755859591,2.269500587552385e-06
5,seleccion_por_ruleta,cruce_2_puntos,mutacion_intercambio_por_etapa,221.0909090909091,66.45435891032143,0.0006428687717982318,2.297308617031936e-06
5,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,204.1818181818182,59.17579650308808,0.0006367825992388364,2.1950838324256296e-06
5,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,195.8181818181818,78.50607277913898,0.0006441142555730045,2.7590088513112154e-06
5,seleccion_por_torneo,cruce_2_puntos,mutacion_aleatoria,213.77272727272728,60.48528496229224,0.0006373718431302908,2.3707498819526334e-06
5,seleccion_por_torneo,cruce_2_puntos,mutacion_intercambio_por_etapa,207.0,68.46062476239275,0.0006424875290740909,2.519657165626399e-06
6,seleccion_por_ranking,cruce_1_punto,mutacion_aleatoria,190.77272727272728,92.15149628952462,0.0006365982668390136,1.8658194913113192e-06
6,seleccion_por_ranking,cruce_1_punto,mutacion_intercambio_por_etapa,229.45454545454547,68.82464070978627,0.0006422356594501454,1.9594237267724874e-06
6,seleccion_por_ranking,cruce_2_puntos,mutacion_aleatoria,216.63636363636363,55.34527592396271,0.0006363038189218819,2.3021788525973764e-06
6,seleccion_por_ranking,cruce_2_puntos,mutacion_intercambio_por_etapa,218.63636363636363,52.03071021228525,0.0006419544519194727,2.0653936503007892e-06
6,seleccion_por_ruleta,cruce_1_punto,mutacion_aleatoria,213.5,66.59597442431344,0.0006359204587683772,2.4991817328035886e-06
6,seleccion_por_ruleta,cruce_1_punto,mutacion_intercambio_por_etapa,225.5,72.28037341458871,0.0006413671300046318,2.5675856227125423e-06
6,seleccion_por_ruleta,cruce_2_puntos,mutacion_aleatoria,160.1818181818182,59.327690767253806,0.0006362123025453364,1.7332677568391377e-06
6,seleccion_por_ruleta,cruce_2_puntos,mutacion_intercambio_por_etapa,250.1818181818182,51.107390541538784,0.0006418968936477727,2.0688415603668347e-06
6,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,201.4090909090909,84.21099299967518,0.0006348577044294636,2.4481314282731033e-06
6,seleccion_por_torneo,cruce_1_punto,mutacion_intercambio_por_etapa,218.86363636363637,57.60150085225992,0.0006425599190192183,1.931308298179094e-06
6,seleccion_por_torneo,cruce_2_puntos,mutacion_aleatoria,207.9090909090909,73.92912248576437,0.0006350095784039636,2.364038558292414e-06
