Iteracion,Configuracion,Metodo_Seleccion,Metodo_Cruce,Metodo_Mutacion,Mejor_Fitness,Mejor_generacion,Promedios_20p
6,6,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006336496933814949,257,0.0006335582239156369
6,7,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006359431101757253,230,0.0006359431101757251
6,8,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006356402178951077,253,0.0006355650703124594
6,9,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006365883390801174,125,0.0006365883390801174
6,10,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006327367261723599,95,0.00063273672617236
7,1,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006282544363239479,152,0.0006282544363239481
7,2,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006338576624332476,297,0.0006335484223384841
7,3,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006359841932948911,278,0.0006356421309989905
7,4,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006344752500417718,220,0.000634475250041772
7,5,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006374327741602733,126,0.0006374327741602732
7,6,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006333200930578441,254,0.0006327423859971456
7,7,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006331723635059427,241,0.0006331723635059426
7,8,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006313238596229122,218,0.0006313238596229122
7,9,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006337331150127811,239,0.0006337331150127811
7,10,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006357992516149488,259,0.0006356835616684828
8,1,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006289377382630014,254,0.0006283350699392856
8,2,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006366184984614118,258,0.0006364214987592328
8,3,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006320560042656113,175,0.0006320560042656114
8,4,seleccion_por_torneo,cruce_1_punto,mutacion_aleatoria,0.0006294551431677956,189,0.0006294551431677958
